PacName,RegionName,FieldName,WellName,WellType,RigName,RigType,WaterDepth,Year,ReportType,DocumentName,DocumentDate,SubmittedAt,SubmittedBy,AfeCost,AfeDays,SpudDate,WellStartDateTime,WellEndDateTime,FinalCost,FinalDays,WellNptPercentageWow,WellNptPercentage,CompletionCostPlan,CompletionCostActual,DrillingPlanWcpf,DrillingActualWcpf
PCSB,PM,ANGSI,ANGSI-E16,APPRAISAL CUM DEV/DEVELOPMENT,NAGA-5,JACK UP,69,2019,NOOP,,2019-02-04 00:00:00.000 +0000,2025-05-09 07:33:30.051 +0000,system,8473824.9,24.1,2019-02-10 00:00:00.000 +0000,2019-02-09 13:00:00.000 +0000,2019-02-28 03:00:00.000 +0000,6283904.03,18.58,0,0,,,,
PCSB,PM,ANGSI,ANGSI-E16,APPRAISAL CUM DEV/DEVELOPMENT,NAGA-5,JACK UP,69,2019,FWR,,2019-03-15 00:00:00.000 +0000,2025-05-09 07:33:30.051 +0000,system,8473824.9,24.1,2019-02-10 00:00:00.000 +0000,2019-02-09 13:00:00.000 +0000,2019-02-28 03:00:00.000 +0000,6283904.03,18.58,0,0,,,,
PCSB,PM,ANGSI,ANGSI-E16,APPRAISAL CUM DEV/DEVELOPMENT,NAGA-5,JACK UP,69,2019,NOOP,,2019-02-04 00:00:00.000 +0000,2025-05-09 07:33:30.051 +0000,system,8473824.9,24.1,2019-02-10 00:00:00.000 +0000,2019-02-09 13:00:00.000 +0000,2019-02-28 03:00:00.000 +0000,6283904.03,18.58,0,0,,,,
PCSB,PM,ANGSI,ANGSI-E16,APPRAISAL CUM DEV/DEVELOPMENT,NAGA-5,JACK UP,69,2019,FWR,,2019-03-15 00:00:00.000 +0000,2025-05-09 07:33:30.051 +0000,system,8473824.9,24.1,2019-02-10 00:00:00.000 +0000,2019-02-09 13:00:00.000 +0000,2019-02-28 03:00:00.000 +0000,6283904.03,18.58,0,0,,,,
PCSB,PM,ANGSI,ANGSI-E14,APPRAISAL CUM DEV/DEVELOPMENT,NAGA-5,JACK UP,69,2019,NOOP,,2018-10-15 00:00:00.000 +0000,2025-05-22 18:49:28.724 +0000,system,7880044.34,23.1,2018-12-15 00:00:00.000 +0000,2018-12-14 11:30:00.000 +0000,2019-01-05 05:00:00.000 +0000,6513802.82,21.73,11.56,3.31,,,,
PCSB,PM,ANGSI,ANGSI-E14,APPRAISAL CUM DEV/DEVELOPMENT,NAGA-5,JACK UP,69,2019,FWR,,2019-02-16 00:00:00.000 +0000,2025-05-22 18:49:28.724 +0000,system,7880044.34,23.1,2018-12-15 00:00:00.000 +0000,2018-12-14 11:30:00.000 +0000,2019-01-05 05:00:00.000 +0000,6513802.82,21.73,11.56,3.31,,,,
PCSB,PM,ANGSI,ANGSI-E14,APPRAISAL CUM DEV/DEVELOPMENT,NAGA-5,JACK UP,69,2019,NOOP,,2018-10-15 00:00:00.000 +0000,2025-05-22 18:49:28.724 +0000,system,7880044.34,23.1,2018-12-15 00:00:00.000 +0000,2018-12-14 11:30:00.000 +0000,2019-01-05 05:00:00.000 +0000,6513802.82,21.73,11.56,3.31,,,,
PCSB,PM,ANGSI,ANGSI-E14,APPRAISAL CUM DEV/DEVELOPMENT,NAGA-5,JACK UP,69,2019,FWR,,2019-02-16 00:00:00.000 +0000,2025-05-22 18:49:28.724 +0000,system,7880044.34,23.1,2018-12-15 00:00:00.000 +0000,2018-12-14 11:30:00.000 +0000,2019-01-05 05:00:00.000 +0000,6513802.82,21.73,11.56,3.31,,,,
PCSB,PM,ANGSI,ANGSI-E15,APPRAISAL CUM DEV/DEVELOPMENT,NAGA-5,JACK UP,69,2019,NOOP,,2018-08-15 00:00:00.000 +0000,2025-05-09 07:33:30.051 +0000,system,8993906.2,27,2018-11-12 00:00:00.000 +0000,2018-11-12 00:00:00.000 +0000,2019-01-24 20:00:00.000 +0000,7583625.47,24.48,1.48,1.29,,,,
PCSB,PM,ANGSI,ANGSI-E15,APPRAISAL CUM DEV/DEVELOPMENT,NAGA-5,JACK UP,69,2019,FWR,,2019-03-11 00:00:00.000 +0000,2025-05-09 07:33:30.051 +0000,system,8993906.2,27,2018-11-12 00:00:00.000 +0000,2018-11-12 00:00:00.000 +0000,2019-01-24 20:00:00.000 +0000,7583625.47,24.48,1.48,1.29,,,,
